,linkPoster,name,time,content,linkVideo,typeVideo,react_list,comment,Unnamed: 0.1,Unnamed: 0
0,https://www.facebook.com/groups/1489850877861839/user/100004865742392/?__cft__[0]=AZU30xsSqEa8D5r5tXd80-x96RhkBv1IgbPgz8P9f54_ZiPrEjyacx1pbVYL0U4ZUjPd9Ww_9F_4XtMiRRD9X9EOsB9V9w_N5cgBuMxP_43EXGX1G0sJJDCCEZNdTy0ztUO6wT7FLQm-zI_cgqO1JNmpOpPUt2OcZIzpASMigN8bzXur7HVR_0hws1JoAE18Yi674MGgsI5Ueaq9ZMymnPGnZvU6GpCcbwj9XXgAmcjPYA&__cft__[1]=AZU30xsSqEa8D5r5tXd80-x96RhkBv1IgbPgz8P9f54_ZiPrEjyacx1pbVYL0U4ZUjPd9Ww_9F_4XtMiRRD9X9EOsB9V9w_N5cgBuMxP_43EXGX1G0sJJDCCEZNdTy0ztUO6wT7FLQm-zI_cgqO1JNmpOpPUt2OcZIzpASMigN8bzXur7HVR_0hws1JoAE18Yi674MGgsI5Ueaq9ZMymnPGnZvU6GpCcbwj9XXgAmcjPYA&__tn__=-]H-R,Nam Nguyễn,14 Tháng 12,Nhan sắc gây bão cõi mạng của dàn diễn viên phim NOSFERATU ra mắt dịp Giáng Sinh năm nay,https://www.facebook.com/reel/1529947541053758/?group_id=1489850877861839&s=group&__cft__[0]=AZU30xsSqEa8D5r5tXd80-x96RhkBv1IgbPgz8P9f54_ZiPrEjyacx1pbVYL0U4ZUjPd9Ww_9F_4XtMiRRD9X9EOsB9V9w_N5cgBuMxP_43EXGX1G0sJJDCCEZNdTy0ztUO6wT7FLQm-zI_cgqO1JNmpOpPUt2OcZIzpASMigN8bzXur7HVR_0hws1JoAE18Yi674MGgsI5Ueaq9ZMymnPGnZvU6GpCcbwj9XXgAmcjPYA&__tn__=H-R,Video ngắn,"{'Thích': '47', 'Yêu thích': '6', 'Thương thương': 0, 'Haha': '6', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,,
1,https://www.facebook.com/groups/1489850877861839/user/100000113639117/?__cft__[0]=AZWEJQ57PTDXuIjyFL1ZtSDt7YkAzsa0pp-oci698-I_YMkqOqalT-8eY8LOEUDw0UUYfr7ENGbZtNOdPSE1AUbI2PGOiE7qzgplVoI5lmxwqmkEGB54BpS9nz4pqwX0XXYUYAV9xW-64M93xCLyOuTjedfnQmzFUdXYMKiIHln16oR7ifD0uXVXpk6DvxhlCRAKJZtPDw7xl7ZRq0qZAK25DHo0uHaTscXnQym4JBj2pw&__cft__[1]=AZWEJQ57PTDXuIjyFL1ZtSDt7YkAzsa0pp-oci698-I_YMkqOqalT-8eY8LOEUDw0UUYfr7ENGbZtNOdPSE1AUbI2PGOiE7qzgplVoI5lmxwqmkEGB54BpS9nz4pqwX0XXYUYAV9xW-64M93xCLyOuTjedfnQmzFUdXYMKiIHln16oR7ifD0uXVXpk6DvxhlCRAKJZtPDw7xl7ZRq0qZAK25DHo0uHaTscXnQym4JBj2pw&__tn__=-]H-R,Triệu Mẫn,22 Tháng 12,Quả bom nổ thổi bay cả toà nhà mà không làm anh ấy xê dịch 1 cọng tóc còn đây ném có cái vỏ lon nước ngọt cũng làm bay cả mái tóc rồi nên thiết nghĩ nên xem lại loại sáp vuốt keo đang xài đi nha 😌😌😌 Ẩn bớt,https://www.facebook.com/reel/1291167738744202/?group_id=1489850877861839&s=group&__cft__[0]=AZWEJQ57PTDXuIjyFL1ZtSDt7YkAzsa0pp-oci698-I_YMkqOqalT-8eY8LOEUDw0UUYfr7ENGbZtNOdPSE1AUbI2PGOiE7qzgplVoI5lmxwqmkEGB54BpS9nz4pqwX0XXYUYAV9xW-64M93xCLyOuTjedfnQmzFUdXYMKiIHln16oR7ifD0uXVXpk6DvxhlCRAKJZtPDw7xl7ZRq0qZAK25DHo0uHaTscXnQym4JBj2pw&__tn__=H-R,Video ngắn,"{'Thích': '31', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '13', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,0.0,
